intervalNumber	intervalChrom	intervalStart	intervalEnd
136006	chr3	188870001	188880000
136007	chr3	188875001	188885000
136008	chr3	188880001	188890000
136009	chr3	188885001	188895000
136010	chr3	188890001	188900000
136011	chr3	188895001	188905000
136012	chr3	188900001	188910000
136013	chr3	188905001	188915000
136014	chr3	188910001	188920000
136015	chr3	188915001	188925000
136016	chr3	188920001	188930000
136017	chr3	188925001	188935000
136018	chr3	188930001	188940000
136019	chr3	188935001	188945000
136020	chr3	188940001	188950000
136021	chr3	188945001	188955000
136022	chr3	188950001	188960000
136023	chr3	188955001	188965000
136024	chr3	188960001	188970000
136025	chr3	188965001	188975000
136026	chr3	188970001	188980000
136027	chr3	188975001	188985000
136028	chr3	188980001	188990000
136029	chr3	188985001	188995000
136030	chr3	188990001	189000000
136031	chr3	188995001	189005000
136032	chr3	189000001	189010000
136033	chr3	189005001	189015000
136034	chr3	189010001	189020000
136035	chr3	189015001	189025000
136036	chr3	189020001	189030000
136037	chr3	189025001	189035000
136038	chr3	189030001	189040000
136039	chr3	189035001	189045000
136040	chr3	189040001	189050000
136041	chr3	189045001	189055000
136042	chr3	189050001	189060000
136043	chr3	189055001	189065000
136044	chr3	189060001	189070000
136045	chr3	189065001	189075000
136046	chr3	189070001	189080000
136047	chr3	189075001	189085000
136048	chr3	189080001	189090000
136049	chr3	189085001	189095000
136050	chr3	189090001	189100000
136051	chr3	189095001	189105000
136052	chr3	189100001	189110000
136053	chr3	189105001	189115000
136054	chr3	189110001	189120000
136055	chr3	189115001	189125000
136056	chr3	189120001	189130000
136057	chr3	189125001	189135000
136058	chr3	189130001	189140000
136059	chr3	189135001	189145000
136060	chr3	189140001	189150000
136061	chr3	189145001	189155000
136062	chr3	189150001	189160000
136063	chr3	189155001	189165000
136064	chr3	189160001	189170000
136065	chr3	189165001	189175000
136066	chr3	189170001	189180000
136067	chr3	189175001	189185000
136068	chr3	189180001	189190000
136069	chr3	189185001	189195000
136070	chr3	189190001	189200000
136071	chr3	189195001	189205000
136072	chr3	189200001	189210000
136073	chr3	189205001	189215000
136074	chr3	189210001	189220000
136075	chr3	189215001	189225000
136076	chr3	189220001	189230000
136077	chr3	189225001	189235000
136078	chr3	189230001	189240000
136079	chr3	189235001	189245000
136080	chr3	189240001	189250000
136081	chr3	189245001	189255000
136082	chr3	189250001	189260000
136083	chr3	189255001	189265000
136084	chr3	189260001	189270000
136085	chr3	189265001	189275000
136086	chr3	189270001	189280000
136087	chr3	189275001	189285000
136088	chr3	189280001	189290000
136089	chr3	189285001	189295000
136090	chr3	189290001	189300000
136091	chr3	189295001	189305000
136092	chr3	189300001	189310000
136093	chr3	189305001	189315000
136094	chr3	189310001	189320000
136095	chr3	189315001	189325000
136096	chr3	189320001	189330000
136097	chr3	189325001	189335000
136098	chr3	189330001	189340000
136099	chr3	189335001	189345000
136100	chr3	189340001	189350000
136101	chr3	189345001	189355000
136102	chr3	189350001	189360000
136103	chr3	189355001	189365000
136104	chr3	189360001	189370000
136105	chr3	189365001	189375000
136106	chr3	189370001	189380000
136107	chr3	189375001	189385000
136108	chr3	189380001	189390000
136109	chr3	189385001	189395000
136110	chr3	189390001	189400000
136111	chr3	189395001	189405000
136112	chr3	189400001	189410000
136113	chr3	189405001	189415000
136114	chr3	189410001	189420000
136115	chr3	189415001	189425000
136116	chr3	189420001	189430000
136117	chr3	189425001	189435000
136118	chr3	189430001	189440000
136119	chr3	189435001	189445000
136120	chr3	189440001	189450000
136121	chr3	189445001	189455000
136122	chr3	189450001	189460000
136123	chr3	189455001	189465000
136124	chr3	189460001	189470000
136125	chr3	189465001	189475000
136126	chr3	189470001	189480000
136127	chr3	189475001	189485000
136128	chr3	189480001	189490000
136129	chr3	189485001	189495000
136130	chr3	189490001	189500000
136131	chr3	189495001	189505000
136132	chr3	189500001	189510000
136133	chr3	189505001	189515000
136134	chr3	189510001	189520000
136135	chr3	189515001	189525000
136136	chr3	189520001	189530000
136137	chr3	189525001	189535000
136138	chr3	189530001	189540000
136139	chr3	189535001	189545000
136140	chr3	189540001	189550000
136141	chr3	189545001	189555000
136142	chr3	189550001	189560000
136143	chr3	189555001	189565000
136144	chr3	189560001	189570000
136145	chr3	189565001	189575000
136146	chr3	189570001	189580000
136147	chr3	189575001	189585000
136148	chr3	189580001	189590000
136149	chr3	189585001	189595000
136150	chr3	189590001	189600000
136151	chr3	189595001	189605000
136152	chr3	189600001	189610000
136153	chr3	189605001	189615000
136154	chr3	189610001	189620000
136155	chr3	189615001	189625000
136156	chr3	189620001	189630000
136157	chr3	189625001	189635000
136158	chr3	189630001	189640000
136159	chr3	189635001	189645000
136160	chr3	189640001	189650000
136161	chr3	189645001	189655000
136162	chr3	189650001	189660000
136163	chr3	189655001	189665000
136164	chr3	189660001	189670000
136165	chr3	189665001	189675000
136166	chr3	189670001	189680000
136167	chr3	189675001	189685000
136168	chr3	189680001	189690000
136169	chr3	189685001	189695000
136170	chr3	189690001	189700000
136171	chr3	189695001	189705000
136172	chr3	189700001	189710000
136173	chr3	189705001	189715000
136174	chr3	189710001	189720000
136175	chr3	189715001	189725000
136176	chr3	189720001	189730000
136177	chr3	189725001	189735000
136178	chr3	189730001	189740000
136179	chr3	189735001	189745000
136180	chr3	189740001	189750000
136181	chr3	189745001	189755000
136182	chr3	189750001	189760000
136183	chr3	189755001	189765000
136184	chr3	189760001	189770000
136185	chr3	189765001	189775000
136186	chr3	189770001	189780000
136187	chr3	189775001	189785000
136188	chr3	189780001	189790000
136189	chr3	189785001	189795000
136190	chr3	189790001	189800000
136191	chr3	189795001	189805000
136192	chr3	189800001	189810000
136193	chr3	189805001	189815000
136194	chr3	189810001	189820000
136195	chr3	189815001	189825000
136196	chr3	189820001	189830000
136197	chr3	189825001	189835000
136198	chr3	189830001	189840000
136199	chr3	189835001	189845000
136200	chr3	189840001	189850000
136201	chr3	189845001	189855000
136202	chr3	189850001	189860000
136203	chr3	189855001	189865000
136204	chr3	189860001	189870000
136205	chr3	189865001	189875000
136206	chr3	189870001	189880000
136207	chr3	189875001	189885000
136208	chr3	189880001	189890000
136209	chr3	189885001	189895000
136210	chr3	189890001	189900000
136211	chr3	189895001	189905000
136212	chr3	189900001	189910000
136213	chr3	189905001	189915000
136214	chr3	189910001	189920000
136215	chr3	189915001	189925000
136216	chr3	189920001	189930000
136217	chr3	189925001	189935000
136218	chr3	189930001	189940000
136219	chr3	189935001	189945000
136220	chr3	189940001	189950000
136221	chr3	189945001	189955000
136222	chr3	189950001	189960000
136223	chr3	189955001	189965000
136224	chr3	189960001	189970000
136225	chr3	189965001	189975000
136226	chr3	189970001	189980000
136227	chr3	189975001	189985000
136228	chr3	189980001	189990000
136229	chr3	189985001	189995000
136230	chr3	189990001	190000000
136231	chr3	189995001	190005000
136232	chr3	190000001	190010000
136233	chr3	190005001	190015000
136234	chr3	190010001	190020000
136235	chr3	190015001	190025000
136236	chr3	190020001	190030000
136237	chr3	190025001	190035000
136238	chr3	190030001	190040000
136239	chr3	190035001	190045000
136240	chr3	190040001	190050000
136241	chr3	190045001	190055000
136242	chr3	190050001	190060000
136243	chr3	190055001	190065000
136244	chr3	190060001	190070000
136245	chr3	190065001	190075000
136246	chr3	190070001	190080000
136247	chr3	190075001	190085000
136248	chr3	190080001	190090000
136249	chr3	190085001	190095000
136250	chr3	190090001	190100000
136251	chr3	190095001	190105000
136252	chr3	190100001	190110000
136253	chr3	190105001	190115000
136254	chr3	190110001	190120000
136255	chr3	190115001	190125000
136256	chr3	190120001	190130000
136257	chr3	190125001	190135000
136258	chr3	190130001	190140000
136259	chr3	190135001	190145000
136260	chr3	190140001	190150000
136261	chr3	190145001	190155000
136262	chr3	190150001	190160000
136263	chr3	190155001	190165000
136264	chr3	190160001	190170000
136265	chr3	190165001	190175000
136266	chr3	190170001	190180000
136267	chr3	190175001	190185000
136268	chr3	190180001	190190000
136269	chr3	190185001	190195000
136270	chr3	190190001	190200000
136271	chr3	190195001	190205000
136272	chr3	190200001	190210000
136273	chr3	190205001	190215000
136274	chr3	190210001	190220000
136275	chr3	190215001	190225000
136276	chr3	190220001	190230000
136277	chr3	190225001	190235000
136278	chr3	190230001	190240000
136279	chr3	190235001	190245000
136280	chr3	190240001	190250000
136281	chr3	190245001	190255000
136282	chr3	190250001	190260000
136283	chr3	190255001	190265000
136284	chr3	190260001	190270000
136285	chr3	190265001	190275000
136286	chr3	190270001	190280000
136287	chr3	190275001	190285000
136288	chr3	190280001	190290000
136289	chr3	190285001	190295000
136290	chr3	190290001	190300000
136291	chr3	190295001	190305000
136292	chr3	190300001	190310000
136293	chr3	190305001	190315000
136294	chr3	190310001	190320000
136295	chr3	190315001	190325000
136296	chr3	190320001	190330000
136297	chr3	190325001	190335000
136298	chr3	190330001	190340000
136299	chr3	190335001	190345000
136300	chr3	190340001	190350000
136301	chr3	190345001	190355000
136302	chr3	190350001	190360000
136303	chr3	190355001	190365000
136304	chr3	190360001	190370000
136305	chr3	190365001	190375000
136306	chr3	190370001	190380000
136307	chr3	190375001	190385000
136308	chr3	190380001	190390000
136309	chr3	190385001	190395000
136310	chr3	190390001	190400000
136311	chr3	190395001	190405000
136312	chr3	190400001	190410000
136313	chr3	190405001	190415000
136314	chr3	190410001	190420000
136315	chr3	190415001	190425000
136316	chr3	190420001	190430000
136317	chr3	190425001	190435000
136318	chr3	190430001	190440000
136319	chr3	190435001	190445000
136320	chr3	190440001	190450000
136321	chr3	190445001	190455000
136322	chr3	190450001	190460000
136323	chr3	190455001	190465000
136324	chr3	190460001	190470000
136325	chr3	190465001	190475000
136326	chr3	190470001	190480000
136327	chr3	190475001	190485000
136328	chr3	190480001	190490000
136329	chr3	190485001	190495000
136330	chr3	190490001	190500000
136331	chr3	190495001	190505000
136332	chr3	190500001	190510000
136333	chr3	190505001	190515000
136334	chr3	190510001	190520000
136335	chr3	190515001	190525000
136336	chr3	190520001	190530000
136337	chr3	190525001	190535000
136338	chr3	190530001	190540000
136339	chr3	190535001	190545000
136340	chr3	190540001	190550000
136341	chr3	190545001	190555000
136342	chr3	190550001	190560000
136343	chr3	190555001	190565000
136344	chr3	190560001	190570000
136345	chr3	190565001	190575000
136346	chr3	190570001	190580000
136347	chr3	190575001	190585000
136348	chr3	190580001	190590000
136349	chr3	190585001	190595000
136350	chr3	190590001	190600000
136351	chr3	190595001	190605000
136352	chr3	190600001	190610000
136353	chr3	190605001	190615000
136354	chr3	190610001	190620000
136355	chr3	190615001	190625000
136356	chr3	190620001	190630000
136357	chr3	190625001	190635000
136358	chr3	190630001	190640000
136359	chr3	190635001	190645000
136360	chr3	190640001	190650000
136361	chr3	190645001	190655000
136362	chr3	190650001	190660000
136363	chr3	190655001	190665000
136364	chr3	190660001	190670000
136365	chr3	190665001	190675000
136366	chr3	190670001	190680000
136367	chr3	190675001	190685000
136368	chr3	190680001	190690000
136369	chr3	190685001	190695000
136370	chr3	190690001	190700000
136371	chr3	190695001	190705000
136372	chr3	190700001	190710000
136373	chr3	190705001	190715000
136374	chr3	190710001	190720000
136375	chr3	190715001	190725000
136376	chr3	190720001	190730000
136377	chr3	190725001	190735000
136378	chr3	190730001	190740000
136379	chr3	190735001	190745000
136380	chr3	190740001	190750000
136381	chr3	190745001	190755000
136382	chr3	190750001	190760000
136383	chr3	190755001	190765000
136384	chr3	190760001	190770000
136385	chr3	190765001	190775000
136386	chr3	190770001	190780000
136387	chr3	190775001	190785000
136388	chr3	190780001	190790000
136389	chr3	190785001	190795000
136390	chr3	190790001	190800000
136391	chr3	190795001	190805000
136392	chr3	190800001	190810000
136393	chr3	190805001	190815000
136394	chr3	190810001	190820000
136395	chr3	190815001	190825000
136396	chr3	190820001	190830000
136397	chr3	190825001	190835000
136398	chr3	190830001	190840000
136399	chr3	190835001	190845000
136400	chr3	190840001	190850000
136401	chr3	190845001	190855000
136402	chr3	190850001	190860000
136403	chr3	190855001	190865000
136404	chr3	190860001	190870000
136405	chr3	190865001	190875000
136406	chr3	190870001	190880000
136407	chr3	190875001	190885000
136408	chr3	190880001	190890000
136409	chr3	190885001	190895000
136410	chr3	190890001	190900000
136411	chr3	190895001	190905000
136412	chr3	190900001	190910000
136413	chr3	190905001	190915000
136414	chr3	190910001	190920000
136415	chr3	190915001	190925000
136416	chr3	190920001	190930000
136417	chr3	190925001	190935000
136418	chr3	190930001	190940000
136419	chr3	190935001	190945000
136420	chr3	190940001	190950000
136421	chr3	190945001	190955000
136422	chr3	190950001	190960000
136423	chr3	190955001	190965000
136424	chr3	190960001	190970000
136425	chr3	190965001	190975000
136426	chr3	190970001	190980000
136427	chr3	190975001	190985000
136428	chr3	190980001	190990000
136429	chr3	190985001	190995000
136430	chr3	190990001	191000000
136431	chr3	190995001	191005000
136432	chr3	191000001	191010000
136433	chr3	191005001	191015000
136434	chr3	191010001	191020000
136435	chr3	191015001	191025000
136436	chr3	191020001	191030000
136437	chr3	191025001	191035000
136438	chr3	191030001	191040000
136439	chr3	191035001	191045000
136440	chr3	191040001	191050000
136441	chr3	191045001	191055000
136442	chr3	191050001	191060000
136443	chr3	191055001	191065000
136444	chr3	191060001	191070000
136445	chr3	191065001	191075000
136446	chr3	191070001	191080000
136447	chr3	191075001	191085000
136448	chr3	191080001	191090000
136449	chr3	191085001	191095000
136450	chr3	191090001	191100000
136451	chr3	191095001	191105000
136452	chr3	191100001	191110000
136453	chr3	191105001	191115000
136454	chr3	191110001	191120000
136455	chr3	191115001	191125000
136456	chr3	191120001	191130000
136457	chr3	191125001	191135000
136458	chr3	191130001	191140000
136459	chr3	191135001	191145000
136460	chr3	191140001	191150000
136461	chr3	191145001	191155000
136462	chr3	191150001	191160000
136463	chr3	191155001	191165000
136464	chr3	191160001	191170000
136465	chr3	191165001	191175000
136466	chr3	191170001	191180000
136467	chr3	191175001	191185000
136468	chr3	191180001	191190000
136469	chr3	191185001	191195000
136470	chr3	191190001	191200000
136471	chr3	191195001	191205000
136472	chr3	191200001	191210000
136473	chr3	191205001	191215000
136474	chr3	191210001	191220000
136475	chr3	191215001	191225000
136476	chr3	191220001	191230000
136477	chr3	191225001	191235000
136478	chr3	191230001	191240000
136479	chr3	191235001	191245000
136480	chr3	191240001	191250000
136481	chr3	191245001	191255000
136482	chr3	191250001	191260000
136483	chr3	191255001	191265000
136484	chr3	191260001	191270000
136485	chr3	191265001	191275000
136486	chr3	191270001	191280000
136487	chr3	191275001	191285000
136488	chr3	191280001	191290000
136489	chr3	191285001	191295000
136490	chr3	191290001	191300000
136491	chr3	191295001	191305000
136492	chr3	191300001	191310000
136493	chr3	191305001	191315000
136494	chr3	191310001	191320000
136495	chr3	191315001	191325000
136496	chr3	191320001	191330000
136497	chr3	191325001	191335000
136498	chr3	191330001	191340000
136499	chr3	191335001	191345000
136500	chr3	191340001	191350000
136501	chr3	191345001	191355000
136502	chr3	191350001	191360000
136503	chr3	191355001	191365000
136504	chr3	191360001	191370000
136505	chr3	191365001	191375000
136506	chr3	191370001	191380000
136507	chr3	191375001	191385000
136508	chr3	191380001	191390000
136509	chr3	191385001	191395000
136510	chr3	191390001	191400000
136511	chr3	191395001	191405000
136512	chr3	191400001	191410000
136513	chr3	191405001	191415000
136514	chr3	191410001	191420000
136515	chr3	191415001	191425000
136516	chr3	191420001	191430000
136517	chr3	191425001	191435000
136518	chr3	191430001	191440000
136519	chr3	191435001	191445000
136520	chr3	191440001	191450000
136521	chr3	191445001	191455000
136522	chr3	191450001	191460000
136523	chr3	191455001	191465000
136524	chr3	191460001	191470000
136525	chr3	191465001	191475000
136526	chr3	191470001	191480000
136527	chr3	191475001	191485000
136528	chr3	191480001	191490000
136529	chr3	191485001	191495000
136530	chr3	191490001	191500000
136531	chr3	191495001	191505000
136532	chr3	191500001	191510000
136533	chr3	191505001	191515000
136534	chr3	191510001	191520000
136535	chr3	191515001	191525000
136536	chr3	191520001	191530000
136537	chr3	191525001	191535000
136538	chr3	191530001	191540000
136539	chr3	191535001	191545000
136540	chr3	191540001	191550000
136541	chr3	191545001	191555000
136542	chr3	191550001	191560000
136543	chr3	191555001	191565000
136544	chr3	191560001	191570000
136545	chr3	191565001	191575000
136546	chr3	191570001	191580000
136547	chr3	191575001	191585000
136548	chr3	191580001	191590000
136549	chr3	191585001	191595000
136550	chr3	191590001	191600000
136551	chr3	191595001	191605000
136552	chr3	191600001	191610000
136553	chr3	191605001	191615000
136554	chr3	191610001	191620000
136555	chr3	191615001	191625000
136556	chr3	191620001	191630000
136557	chr3	191625001	191635000
136558	chr3	191630001	191640000
136559	chr3	191635001	191645000
136560	chr3	191640001	191650000
136561	chr3	191645001	191655000
136562	chr3	191650001	191660000
136563	chr3	191655001	191665000
136564	chr3	191660001	191670000
136565	chr3	191665001	191675000
136566	chr3	191670001	191680000
136567	chr3	191675001	191685000
136568	chr3	191680001	191690000
136569	chr3	191685001	191695000
136570	chr3	191690001	191700000
136571	chr3	191695001	191705000
136572	chr3	191700001	191710000
136573	chr3	191705001	191715000
136574	chr3	191710001	191720000
136575	chr3	191715001	191725000
136576	chr3	191720001	191730000
136577	chr3	191725001	191735000
136578	chr3	191730001	191740000
136579	chr3	191735001	191745000
136580	chr3	191740001	191750000
136581	chr3	191745001	191755000
136582	chr3	191750001	191760000
136583	chr3	191755001	191765000
136584	chr3	191760001	191770000
136585	chr3	191765001	191775000
136586	chr3	191770001	191780000
136587	chr3	191775001	191785000
136588	chr3	191780001	191790000
136589	chr3	191785001	191795000
136590	chr3	191790001	191800000
136591	chr3	191795001	191805000
136592	chr3	191800001	191810000
136593	chr3	191805001	191815000
136594	chr3	191810001	191820000
136595	chr3	191815001	191825000
136596	chr3	191820001	191830000
136597	chr3	191825001	191835000
136598	chr3	191830001	191840000
136599	chr3	191835001	191845000
136600	chr3	191840001	191850000
136601	chr3	191845001	191855000
136602	chr3	191850001	191860000
136603	chr3	191855001	191865000
136604	chr3	191860001	191870000
136605	chr3	191865001	191875000
136606	chr3	191870001	191880000
136607	chr3	191875001	191885000
136608	chr3	191880001	191890000
136609	chr3	191885001	191895000
136610	chr3	191890001	191900000
136611	chr3	191895001	191905000
136612	chr3	191900001	191910000
136613	chr3	191905001	191915000
136614	chr3	191910001	191920000
136615	chr3	191915001	191925000
136616	chr3	191920001	191930000
136617	chr3	191925001	191935000
136618	chr3	191930001	191940000
136619	chr3	191935001	191945000
136620	chr3	191940001	191950000
136621	chr3	191945001	191955000
136622	chr3	191950001	191960000
136623	chr3	191955001	191965000
136624	chr3	191960001	191970000
136625	chr3	191965001	191975000
136626	chr3	191970001	191980000
136627	chr3	191975001	191985000
136628	chr3	191980001	191990000
136629	chr3	191985001	191995000
136630	chr3	191990001	192000000
136631	chr3	191995001	192005000
136632	chr3	192000001	192010000
136633	chr3	192005001	192015000
136634	chr3	192010001	192020000
136635	chr3	192015001	192025000
136636	chr3	192020001	192030000
136637	chr3	192025001	192035000
136638	chr3	192030001	192040000
136639	chr3	192035001	192045000
136640	chr3	192040001	192050000
136641	chr3	192045001	192055000
136642	chr3	192050001	192060000
136643	chr3	192055001	192065000
136644	chr3	192060001	192070000
136645	chr3	192065001	192075000
136646	chr3	192070001	192080000
136647	chr3	192075001	192085000
136648	chr3	192080001	192090000
136649	chr3	192085001	192095000
136650	chr3	192090001	192100000
136651	chr3	192095001	192105000
136652	chr3	192100001	192110000
136653	chr3	192105001	192115000
136654	chr3	192110001	192120000
136655	chr3	192115001	192125000
136656	chr3	192120001	192130000
136657	chr3	192125001	192135000
136658	chr3	192130001	192140000
136659	chr3	192135001	192145000
136660	chr3	192140001	192150000
136661	chr3	192145001	192155000
136662	chr3	192150001	192160000
136663	chr3	192155001	192165000
136664	chr3	192160001	192170000
136665	chr3	192165001	192175000
136666	chr3	192170001	192180000
136667	chr3	192175001	192185000
136668	chr3	192180001	192190000
136669	chr3	192185001	192195000
136670	chr3	192190001	192200000
136671	chr3	192195001	192205000
136672	chr3	192200001	192210000
136673	chr3	192205001	192215000
136674	chr3	192210001	192220000
136675	chr3	192215001	192225000
136676	chr3	192220001	192230000
136677	chr3	192225001	192235000
136678	chr3	192230001	192240000
136679	chr3	192235001	192245000
136680	chr3	192240001	192250000
136681	chr3	192245001	192255000
136682	chr3	192250001	192260000
136683	chr3	192255001	192265000
136684	chr3	192260001	192270000
136685	chr3	192265001	192275000
136686	chr3	192270001	192280000
136687	chr3	192275001	192285000
136688	chr3	192280001	192290000
136689	chr3	192285001	192295000
136690	chr3	192290001	192300000
136691	chr3	192295001	192305000
136692	chr3	192300001	192310000
136693	chr3	192305001	192315000
136694	chr3	192310001	192320000
136695	chr3	192315001	192325000
136696	chr3	192320001	192330000
136697	chr3	192325001	192335000
136698	chr3	192330001	192340000
136699	chr3	192335001	192345000
136700	chr3	192340001	192350000
136701	chr3	192345001	192355000
136702	chr3	192350001	192360000
136703	chr3	192355001	192365000
136704	chr3	192360001	192370000
136705	chr3	192365001	192375000
136706	chr3	192370001	192380000
136707	chr3	192375001	192385000
136708	chr3	192380001	192390000
136709	chr3	192385001	192395000
136710	chr3	192390001	192400000
136711	chr3	192395001	192405000
136712	chr3	192400001	192410000
136713	chr3	192405001	192415000
136714	chr3	192410001	192420000
136715	chr3	192415001	192425000
136716	chr3	192420001	192430000
136717	chr3	192425001	192435000
136718	chr3	192430001	192440000
136719	chr3	192435001	192445000
136720	chr3	192440001	192450000
136721	chr3	192445001	192455000
136722	chr3	192450001	192460000
136723	chr3	192455001	192465000
136724	chr3	192460001	192470000
136725	chr3	192465001	192475000
136726	chr3	192470001	192480000
136727	chr3	192475001	192485000
136728	chr3	192480001	192490000
136729	chr3	192485001	192495000
136730	chr3	192490001	192500000
136731	chr3	192495001	192505000
136732	chr3	192500001	192510000
136733	chr3	192505001	192515000
136734	chr3	192510001	192520000
136735	chr3	192515001	192525000
136736	chr3	192520001	192530000
136737	chr3	192525001	192535000
136738	chr3	192530001	192540000
136739	chr3	192535001	192545000
136740	chr3	192540001	192550000
136741	chr3	192545001	192555000
136742	chr3	192550001	192560000
136743	chr3	192555001	192565000
136744	chr3	192560001	192570000
136745	chr3	192565001	192575000
136746	chr3	192570001	192580000
136747	chr3	192575001	192585000
136748	chr3	192580001	192590000
136749	chr3	192585001	192595000
136750	chr3	192590001	192600000
136751	chr3	192595001	192605000
136752	chr3	192600001	192610000
136753	chr3	192605001	192615000
136754	chr3	192610001	192620000
136755	chr3	192615001	192625000
136756	chr3	192620001	192630000
136757	chr3	192625001	192635000
136758	chr3	192630001	192640000
136759	chr3	192635001	192645000
136760	chr3	192640001	192650000
136761	chr3	192645001	192655000
136762	chr3	192650001	192660000
136763	chr3	192655001	192665000
136764	chr3	192660001	192670000
136765	chr3	192665001	192675000
136766	chr3	192670001	192680000
136767	chr3	192675001	192685000
136768	chr3	192680001	192690000
136769	chr3	192685001	192695000
136770	chr3	192690001	192700000
136771	chr3	192695001	192705000
136772	chr3	192700001	192710000
136773	chr3	192705001	192715000
136774	chr3	192710001	192720000
136775	chr3	192715001	192725000
136776	chr3	192720001	192730000
136777	chr3	192725001	192735000
136778	chr3	192730001	192740000
136779	chr3	192735001	192745000
136780	chr3	192740001	192750000
136781	chr3	192745001	192755000
136782	chr3	192750001	192760000
136783	chr3	192755001	192765000
136784	chr3	192760001	192770000
136785	chr3	192765001	192775000
136786	chr3	192770001	192780000
136787	chr3	192775001	192785000
136788	chr3	192780001	192790000
136789	chr3	192785001	192795000
136790	chr3	192790001	192800000
136791	chr3	192795001	192805000
136792	chr3	192800001	192810000
136793	chr3	192805001	192815000
136794	chr3	192810001	192820000
136795	chr3	192815001	192825000
136796	chr3	192820001	192830000
136797	chr3	192825001	192835000
136798	chr3	192830001	192840000
136799	chr3	192835001	192845000
136800	chr3	192840001	192850000
136801	chr3	192845001	192855000
136802	chr3	192850001	192860000
136803	chr3	192855001	192865000
136804	chr3	192860001	192870000
136805	chr3	192865001	192875000
136806	chr3	192870001	192880000
136807	chr3	192875001	192885000
136808	chr3	192880001	192890000
136809	chr3	192885001	192895000
136810	chr3	192890001	192900000
136811	chr3	192895001	192905000
136812	chr3	192900001	192910000
136813	chr3	192905001	192915000
136814	chr3	192910001	192920000
136815	chr3	192915001	192925000
136816	chr3	192920001	192930000
136817	chr3	192925001	192935000
136818	chr3	192930001	192940000
136819	chr3	192935001	192945000
136820	chr3	192940001	192950000
136821	chr3	192945001	192955000
136822	chr3	192950001	192960000
136823	chr3	192955001	192965000
136824	chr3	192960001	192970000
136825	chr3	192965001	192975000
136826	chr3	192970001	192980000
136827	chr3	192975001	192985000
136828	chr3	192980001	192990000
136829	chr3	192985001	192995000
136830	chr3	192990001	193000000
136831	chr3	192995001	193005000
136832	chr3	193000001	193010000
136833	chr3	193005001	193015000
136834	chr3	193010001	193020000
136835	chr3	193015001	193025000
136836	chr3	193020001	193030000
136837	chr3	193025001	193035000
136838	chr3	193030001	193040000
136839	chr3	193035001	193045000
136840	chr3	193040001	193050000
136841	chr3	193045001	193055000
136842	chr3	193050001	193060000
136843	chr3	193055001	193065000
136844	chr3	193060001	193070000
136845	chr3	193065001	193075000
136846	chr3	193070001	193080000
136847	chr3	193075001	193085000
136848	chr3	193080001	193090000
136849	chr3	193085001	193095000
136850	chr3	193090001	193100000
136851	chr3	193095001	193105000
136852	chr3	193100001	193110000
136853	chr3	193105001	193115000
136854	chr3	193110001	193120000
136855	chr3	193115001	193125000
136856	chr3	193120001	193130000
136857	chr3	193125001	193135000
136858	chr3	193130001	193140000
136859	chr3	193135001	193145000
136860	chr3	193140001	193150000
136861	chr3	193145001	193155000
136862	chr3	193150001	193160000
136863	chr3	193155001	193165000
136864	chr3	193160001	193170000
136865	chr3	193165001	193175000
136866	chr3	193170001	193180000
136867	chr3	193175001	193185000
136868	chr3	193180001	193190000
136869	chr3	193185001	193195000
136870	chr3	193190001	193200000
136871	chr3	193195001	193205000
136872	chr3	193200001	193210000
136873	chr3	193205001	193215000
136874	chr3	193210001	193220000
136875	chr3	193215001	193225000
136876	chr3	193220001	193230000
136877	chr3	193225001	193235000
136878	chr3	193230001	193240000
136879	chr3	193235001	193245000
136880	chr3	193240001	193250000
136881	chr3	193245001	193255000
136882	chr3	193250001	193260000
136883	chr3	193255001	193265000
136884	chr3	193260001	193270000
136885	chr3	193265001	193275000
136886	chr3	193270001	193280000
136887	chr3	193275001	193285000
136888	chr3	193280001	193290000
136889	chr3	193285001	193295000
136890	chr3	193290001	193300000
136891	chr3	193295001	193305000
136892	chr3	193300001	193310000
136893	chr3	193305001	193315000
136894	chr3	193310001	193320000
136895	chr3	193315001	193325000
136896	chr3	193320001	193330000
136897	chr3	193325001	193335000
136898	chr3	193330001	193340000
136899	chr3	193335001	193345000
136900	chr3	193340001	193350000
136901	chr3	193345001	193355000
136902	chr3	193350001	193360000
136903	chr3	193355001	193365000
136904	chr3	193360001	193370000
136905	chr3	193365001	193375000
136906	chr3	193370001	193380000
136907	chr3	193375001	193385000
136908	chr3	193380001	193390000
136909	chr3	193385001	193395000
136910	chr3	193390001	193400000
136911	chr3	193395001	193405000
136912	chr3	193400001	193410000
136913	chr3	193405001	193415000
136914	chr3	193410001	193420000
136915	chr3	193415001	193425000
136916	chr3	193420001	193430000
136917	chr3	193425001	193435000
136918	chr3	193430001	193440000
136919	chr3	193435001	193445000
136920	chr3	193440001	193450000
136921	chr3	193445001	193455000
136922	chr3	193450001	193460000
136923	chr3	193455001	193465000
136924	chr3	193460001	193470000
136925	chr3	193465001	193475000
136926	chr3	193470001	193480000
136927	chr3	193475001	193485000
136928	chr3	193480001	193490000
136929	chr3	193485001	193495000
136930	chr3	193490001	193500000
136931	chr3	193495001	193505000
136932	chr3	193500001	193510000
136933	chr3	193505001	193515000
136934	chr3	193510001	193520000
136935	chr3	193515001	193525000
136936	chr3	193520001	193530000
